"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"A4GNT"	""	"alpha4GnT"	""	"A4GNT,,alpha4GnT,"
"AAAS"	""	""	""	"AAAS,,,"
"AADAC"	""	"DAC, CES5A1"	""	"AADAC,,DAC, CES5A1,"
"AADACL2"	""	"MGC72001"	""	"AADACL2,,MGC72001,"
"AADACL2-AS1"	""	""	"AADACL2-AS1"	"AADACL2-AS1,,,AADACL2-AS1"
"AADACP1"	""	""	""	"AADACP1,,,"
"AANAT"	""	"SNAT"	""	"AANAT,,SNAT,"
"AARD"	"C8orf85"	"LOC441376"	""	"AARD,C8orf85,LOC441376,"
"ABCA2"	"ABC2"	""	""	"ABCA2,ABC2,,"
"ABCB10"	""	"EST20237, M-ABC2, MTABC2"	""	"ABCB10,,EST20237, M-ABC2, MTABC2,"
"ABCC5"	""	"MRP5, SMRP, EST277145, MOAT-C"	""	"ABCC5,,MRP5, SMRP, EST277145, MOAT-C,"
"ABCC5-AS1"	""	""	"ABCC5-AS1"	"ABCC5-AS1,,,ABCC5-AS1"
"ABCF3"	""	"EST201864"	""	"ABCF3,,EST201864,"
"ABHD8"	""	"FLJ11743, MGC14280, MGC2512"	""	"ABHD8,,FLJ11743, MGC14280, MGC2512,"
"ABHD16B"	"C20orf135"	"dJ591C20.1"	""	"ABHD16B,C20orf135,dJ591C20.1,"
"ABL2"	"ABLL"	"ARG"	""	"ABL2,ABLL,ARG,"
"ABRA"	""	"STARS"	""	"ABRA,,STARS,"
"ACAP2"	"CENTB2"	"KIAA0041, CNT-B2"	""	"ACAP2,CENTB2,KIAA0041, CNT-B2,"
"ACBD3"	"GOLPH1, GOCAP1"	"GCP60, PAP7"	""	"ACBD3,GOLPH1, GOCAP1,GCP60, PAP7,"
"ACBD6"	""	"MGC2404"	""	"ACBD6,,MGC2404,"
"ACER3"	"PHCA"	"FLJ11238, APHC"	""	"ACER3,PHCA,FLJ11238, APHC,"
"ACKR1"	"FY, DARC"	"CCBP1, GPD, Dfy, CD234"	""	"ACKR1,FY, DARC,CCBP1, GPD, Dfy, CD234,"
"ACOD1"	"IRG1"	"CAD"	""	"ACOD1,IRG1,CAD,"
"ACOT8"	"PTE1"	"hACTE-III, hTE, PTE-2, NAP1"	""	"ACOT8,PTE1,hACTE-III, hTE, PTE-2, NAP1,"
"ACOX1"	""	"PALMCOX"	""	"ACOX1,,PALMCOX,"
"ACP5"	""	"TRAP, HPAP"	""	"ACP5,,TRAP, HPAP,"
"ACP6"	""	"LPAP, ACPL1"	""	"ACP6,,LPAP, ACPL1,"
"ACP7"	""	"FLJ16165, PAPL1, PAPL"	""	"ACP7,,FLJ16165, PAPL1, PAPL,"
"ACR"	""	""	""	"ACR,,,"
"ACRBP"	""	"SP32, OY-TES-1, CT23"	""	"ACRBP,,SP32, OY-TES-1, CT23,"
"ACTA1"	"ACTA"	"NEM3"	""	"ACTA1,ACTA,NEM3,"
"ACTG1"	"ACTG, DFNA20, DFNA26"	""	""	"ACTG1,ACTG, DFNA20, DFNA26,,"
"ACTG1P25"	""	"AGPG"	""	"ACTG1P25,,AGPG,"
"ACTL6A"	""	"Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1"	""	"ACTL6A,,Actl6, BAF53A, Arp4, Baf53a, INO80K, SMARCN1,"
"ACTL9"	""	"MGC33407"	""	"ACTL9,,MGC33407,"
"ACTL10"	"C20orf134"	""	""	"ACTL10,C20orf134,,"
"ACTN2"	""	""	""	"ACTN2,,,"
"ACTN4"	"FSGS1"	""	""	"ACTN4,FSGS1,,"
"ACTRT3"	""	"ARPM1"	""	"ACTRT3,,ARPM1,"
"ACY3"	""	"HCBP1, MGC9740, ACY-3"	""	"ACY3,,HCBP1, MGC9740, ACY-3,"
"ADA"	""	"ADA1"	""	"ADA,,ADA1,"
"ADAM2"	"FTNB"	"PH-30b, PH30, CT15"	""	"ADAM2,FTNB,PH-30b, PH30, CT15,"
"ADAM3A"	"CYRN1"	"ADAM3, tMDCI"	""	"ADAM3A,CYRN1,ADAM3, tMDCI,"
"ADAM5"	"ADAM5P"	"tMDCII"	""	"ADAM5,ADAM5P,tMDCII,"
"ADAM7"	""	"GP-83, EAPI"	""	"ADAM7,,GP-83, EAPI,"
"ADAM9"	"CORD9"	"MDC9, KIAA0021, MCMP, Mltng"	""	"ADAM9,CORD9,MDC9, KIAA0021, MCMP, Mltng,"
"ADAM15"	""	"MDC15"	""	"ADAM15,,MDC15,"
"ADAM17"	"TACE"	"cSVP, CD156B"	""	"ADAM17,TACE,cSVP, CD156B,"
"ADAM18"	""	"tMDCIII, ADAM27"	""	"ADAM18,,tMDCIII, ADAM27,"
"ADAM28"	""	"eMDCII, MDC-Lm, MDC-Ls, ADAM23"	""	"ADAM28,,eMDCII, MDC-Lm, MDC-Ls, ADAM23,"
"ADAM32"	""	""	""	"ADAM32,,,"
"ADAMDEC1"	""	"M12.219"	""	"ADAMDEC1,,M12.219,"
"ADAMTS4"	""	"KIAA0688, ADAMTS-2, ADMP-1"	""	"ADAMTS4,,KIAA0688, ADAMTS-2, ADMP-1,"
"ADAMTS10"	""	"ADAM-TS10"	""	"ADAMTS10,,ADAM-TS10,"
"ADAMTS12"	""	""	""	"ADAMTS12,,,"
"ADAMTS16"	""	"ADAMTS16s"	""	"ADAMTS16,,ADAMTS16s,"
"ADAMTSL4"	"TSRC1"	"DKFZP434K1772"	""	"ADAMTSL4,TSRC1,DKFZP434K1772,"
"ADAMTSL4-AS1"	"C1orf138"	"FLJ45786"	"ADAMTSL4-AS1"	"ADAMTSL4-AS1,C1orf138,FLJ45786,ADAMTSL4-AS1"
"ADAR"	"IFI4, G1P1"	"ADAR1"	""	"ADAR,IFI4, G1P1,ADAR1,"
"ADCK5"	""	"FLJ35454"	""	"ADCK5,,FLJ35454,"
"ADCY2"	""	"HBAC2, KIAA1060, AC2"	""	"ADCY2,,HBAC2, KIAA1060, AC2,"
"ADCY8"	"ADCY3"	"HBAC1, AC8"	""	"ADCY8,ADCY3,HBAC1, AC8,"
"ADCY10"	""	"SAC, Sacy, SACI, HCA2, RP1-313L4.2"	""	"ADCY10,,SAC, Sacy, SACI, HCA2, RP1-313L4.2,"
"ADCYAP1"	""	"PACAP"	""	"ADCYAP1,,PACAP,"
"ADGRA2"	"GPR124"	"TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390"	""	"ADGRA2,GPR124,TEM5, DKFZp434C211, DKFZp434J0911, KIAA1531, FLJ14390,"
"ADGRB1"	"BAI1"	""	""	"ADGRB1,BAI1,,"
"ADGRB2"	"BAI2"	""	""	"ADGRB2,BAI2,,"
"ADGRE2"	"EMR2"	"CD312"	""	"ADGRE2,EMR2,CD312,"
"ADGRE3"	"EMR3"	""	""	"ADGRE3,EMR3,,"
"ADGRE5"	"CD97"	"TM7LN1"	""	"ADGRE5,CD97,TM7LN1,"
"ADGRL1"	"LPHN1"	"KIAA0821, CIRL1, LEC2"	""	"ADGRL1,LPHN1,KIAA0821, CIRL1, LEC2,"
"ADGRL1-AS1"	""	""	""	"ADGRL1-AS1,,,"
"ADHFE1"	""	"FLJ32430"	""	"ADHFE1,,FLJ32430,"
"ADIPOQ"	"ACDC"	"ACRP30, apM1, GBP28, adiponectin"	""	"ADIPOQ,ACDC,ACRP30, apM1, GBP28, adiponectin,"
"ADIPOQ-AS1"	""	""	"ADIPOQ-AS1"	"ADIPOQ-AS1,,,ADIPOQ-AS1"
"ADIPOR1"	""	"PAQR1, ACDCR1"	""	"ADIPOR1,,PAQR1, ACDCR1,"
"ADK"	""	"AK"	""	"ADK,,AK,"
"ADM2"	""	"AM2, FLJ21135"	""	"ADM2,,AM2, FLJ21135,"
"ADNP"	""	"KIAA0784, ADNP1"	""	"ADNP,,KIAA0784, ADNP1,"
"ADNP-AS1"	""	""	"ADNP-AS1"	"ADNP-AS1,,,ADNP-AS1"
"ADORA1"	""	"RDC7"	""	"ADORA1,,RDC7,"
"ADPRS"	"ADPRHL2"	"ARH3, FLJ20446"	""	"ADPRS,ADPRHL2,ARH3, FLJ20446,"
"ADRA1A"	"ADRA1C"	"ADRA1L1"	""	"ADRA1A,ADRA1C,ADRA1L1,"
"ADRB3"	""	""	""	"ADRB3,,,"
"ADRM1"	""	"GP110, Rpn13, ARM1, PSMD16"	""	"ADRM1,,GP110, Rpn13, ARM1, PSMD16,"
"ADSS2"	"ADSS"	""	""	"ADSS2,ADSS,,"
"ADTRP"	"C6orf105"	"dJ413H6.1, AIG1L"	""	"ADTRP,C6orf105,dJ413H6.1, AIG1L,"
"AFMID"	""	"DKFZp686F03259, KF"	""	"AFMID,,DKFZp686F03259, KF,"
"AGO2"	"EIF2C2, CASC7"	"hAGO2, Q10, LINC00980"	""	"AGO2,EIF2C2, CASC7,hAGO2, Q10, LINC00980,"
"AGO3"	"EIF2C3"	"hAGO3, FLJ12765"	""	"AGO3,EIF2C3,hAGO3, FLJ12765,"
"AGPAT3"	""	"LPAAT-gamma, LPAAT3"	""	"AGPAT3,,LPAAT-gamma, LPAAT3,"
"AGPAT5"	""	"FLJ11210, LPAAT-e, LPAAT-epsilon"	""	"AGPAT5,,FLJ11210, LPAAT-e, LPAAT-epsilon,"
"AGT"	"SERPINA8"	""	""	"AGT,SERPINA8,,"
"AGTR1"	"AGTR1B"	"AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B"	""	"AGTR1,AGTR1B,AT1, AT2R1, AGTR1A, AT2R1A, HAT1R, AG2S, AT2R1B, AT1B,"
"AGXT2"	""	"AGT2"	""	"AGXT2,,AGT2,"
"AHCTF1"	""	"ELYS"	""	"AHCTF1,,ELYS,"
"AHCY"	""	"SAHH"	""	"AHCY,,SAHH,"
"AHRR"	"AHH, AHHR"	"KIAA1234, bHLHe77"	""	"AHRR,AHH, AHHR,KIAA1234, bHLHe77,"
"AHSG"	""	"FETUA, A2HS, HSGA"	""	"AHSG,,FETUA, A2HS, HSGA,"
"AIDA"	"C1orf80"	"FLJ12806"	""	"AIDA,C1orf80,FLJ12806,"
"AIM2"	""	"PYHIN4"	""	"AIM2,,PYHIN4,"
"AIP"	""	"XAP2, ARA9, FKBP16, FKBP37"	""	"AIP,,XAP2, ARA9, FKBP16, FKBP37,"
"AKAP8"	""	"AKAP95, DKFZp586B1222"	""	"AKAP8,,AKAP95, DKFZp586B1222,"
"AKAP8L"	""	"NAKAP95, HAP95"	""	"AKAP8L,,NAKAP95, HAP95,"
"AKIRIN1"	"C1orf108"	"FLJ12666"	""	"AKIRIN1,C1orf108,FLJ12666,"
"AKT2"	""	"PKBβ"	""	"AKT2,,PKBβ,"
"AKT3"	""	"PKBG, RAC-gamma, PRKBG"	""	"AKT3,,PKBG, RAC-gamma, PRKBG,"
"ALDH3B1"	"ALDH7"	""	""	"ALDH3B1,ALDH7,,"
"ALDH3B2"	"ALDH8"	""	""	"ALDH3B2,ALDH8,,"
"ALDH9A1"	"ALDH7, ALDH4, ALDH9"	"E3"	""	"ALDH9A1,ALDH7, ALDH4, ALDH9,E3,"
"ALDOC"	""	""	""	"ALDOC,,,"
"ALG1L13P"	""	""	""	"ALG1L13P,,,"
"ALG3"	""	"NOT56L, Not56, CDGS4, D16Ertd36e"	""	"ALG3,,NOT56L, Not56, CDGS4, D16Ertd36e,"
"ALG12"	""	"ECM39, CDG1G"	""	"ALG12,,ECM39, CDG1G,"
"ALKAL1"	"FAM150A"	"UNQ9433, AUGB"	""	"ALKAL1,FAM150A,UNQ9433, AUGB,"
"ALKBH6"	""	"MGC15677"	""	"ALKBH6,,MGC15677,"
"ALLC"	""	"ALC"	""	"ALLC,,ALC,"
"ALYREF"	"THOC4"	"ALY, BEF, ALY/REF, REF"	""	"ALYREF,THOC4,ALY, BEF, ALY/REF, REF,"
"AMACR"	""	"RACE, P504S"	""	"AMACR,,RACE, P504S,"
"AMBRA1"	""	"FLJ20294, KIAA1736, WDR94, DCAF3"	""	"AMBRA1,,FLJ20294, KIAA1736, WDR94, DCAF3,"
"ANAPC11"	""	"HSPC214, APC11, Apc11p, MGC882"	""	"ANAPC11,,HSPC214, APC11, Apc11p, MGC882,"
"ANGEL2"	""	"KIAA0759L, FLJ12793, Ccr4d"	""	"ANGEL2,,KIAA0759L, FLJ12793, Ccr4d,"
"ANGPT1"	""	"KIAA0003, Ang1"	""	"ANGPT1,,KIAA0003, Ang1,"
"ANGPT2"	""	"Ang2"	""	"ANGPT2,,Ang2,"
"ANGPTL1"	"ANGPT3"	"ANG3, AngY, ARP1"	""	"ANGPTL1,ANGPT3,ANG3, AngY, ARP1,"
"ANGPTL4"	""	"pp1158, PGAR, ARP4, HFARP, FIAF, NL2"	""	"ANGPTL4,,pp1158, PGAR, ARP4, HFARP, FIAF, NL2,"
"ANGPTL6"	""	"ARP5, AGF"	""	"ANGPTL6,,ARP5, AGF,"
"ANGPTL8"	"C19orf80"	"TD26, RIFL"	""	"ANGPTL8,C19orf80,TD26, RIFL,"
"ANK1"	"ANK"	"SPH1"	""	"ANK1,ANK,SPH1,"
"ANK3"	""	""	""	"ANK3,,,"
"ANKH"	"CCAL2, CMDJ"	"HANK, ANK, CPPDD, SLC62A1"	""	"ANKH,CCAL2, CMDJ,HANK, ANK, CPPDD, SLC62A1,"
"ANKLE1"	"ANKRD41"	"FLJ39369, LEMD6"	""	"ANKLE1,ANKRD41,FLJ39369, LEMD6,"
"ANKRD13D"	""	""	""	"ANKRD13D,,,"
"ANKRD18DP"	""	""	""	"ANKRD18DP,,,"
"ANKRD20A9P"	""	""	""	"ANKRD20A9P,,,"
"ANKRD20A12P"	""	""	""	"ANKRD20A12P,,,"
"ANKRD26P3"	"LINC00414"	""	""	"ANKRD26P3,LINC00414,,"
"ANKRD27"	""	"FLJ00040, DKFZp434L0718, VARP"	""	"ANKRD27,,FLJ00040, DKFZp434L0718, VARP,"
"ANKRD29"	""	"FLJ25053"	""	"ANKRD29,,FLJ25053,"
"ANKRD33B"	""	""	""	"ANKRD33B,,,"
"ANKRD34A"	"ANKRD34"	""	""	"ANKRD34A,ANKRD34,,"
"ANKRD35"	""	"FLJ25124"	""	"ANKRD35,,FLJ25124,"
"ANKRD36BP1"	"ANKRD26L1, ANKRD36BL1"	"MGC12538"	""	"ANKRD36BP1,ANKRD26L1, ANKRD36BL1,MGC12538,"
"ANKRD45"	""	"FLJ45235, CT117"	""	"ANKRD45,,FLJ45235, CT117,"
"ANKRD46"	""	""	""	"ANKRD46,,,"
"ANKRD60"	"C20orf86"	"bA196N14.3"	""	"ANKRD60,C20orf86,bA196N14.3,"
"ANKS1B"	""	"EB-1, AIDA-1, cajalin-2, ANKS2"	""	"ANKS1B,,EB-1, AIDA-1, cajalin-2, ANKS2,"
"ANKUB1"	"C3orf16"	""	""	"ANKUB1,C3orf16,,"
"ANO1"	"ORAOV2, TMEM16A"	"TAOS2, FLJ10261, DOG1"	""	"ANO1,ORAOV2, TMEM16A,TAOS2, FLJ10261, DOG1,"
"ANO2"	"C12orf3, TMEM16B"	""	""	"ANO2,C12orf3, TMEM16B,,"
"ANO8"	"KIAA1623, TMEM16H"	""	""	"ANO8,KIAA1623, TMEM16H,,"
"ANP32E"	""	"LANPL, MGC5350, LANP-L"	""	"ANP32E,,LANPL, MGC5350, LANP-L,"
"ANXA2R"	"C5orf39"	"AXIIR"	""	"ANXA2R,C5orf39,AXIIR,"
"ANXA9"	"ANX31"	""	""	"ANXA9,ANX31,,"
"ANXA11"	"ANX11"	""	""	"ANXA11,ANX11,,"
"ANXA13"	"ANX13"	""	""	"ANXA13,ANX13,,"
"AP1M1"	""	"AP47, CLAPM2, mu1A"	""	"AP1M1,,AP47, CLAPM2, mu1A,"
"AP1M2"	""	"HSMU1B, mu2, AP1-mu2"	""	"AP1M2,,HSMU1B, mu2, AP1-mu2,"
"AP2M1"	"CLAPM1"	"AP50, mu2"	""	"AP2M1,CLAPM1,AP50, mu2,"
"AP3M2"	""	"CLA20, AP47B"	""	"AP3M2,,CLA20, AP47B,"
"AP4M1"	""	"MU-ARP2, MU-4, SPG50"	""	"AP4M1,,MU-ARP2, MU-4, SPG50,"
"AP5B1"	""	"PP1030, AP-5, DKFZp761E198"	""	"AP5B1,,PP1030, AP-5, DKFZp761E198,"
"APCDD1L"	""	"FLJ90166"	""	"APCDD1L,,FLJ90166,"
"APCDD1L-DT"	"APCDD1L-AS1"	""	"APCDD1L-AS1"	"APCDD1L-DT,APCDD1L-AS1,,APCDD1L-AS1"
"APCS"	""	"SAP, PTX2, MGC88159"	""	"APCS,,SAP, PTX2, MGC88159,"
"APH1A"	""	"APH-1A, CGI-78"	""	"APH1A,,APH-1A, CGI-78,"
"APLN"	""	"apelin, XNPEP2"	""	"APLN,,apelin, XNPEP2,"
"APLP1"	""	"APLP"	""	"APLP1,,APLP,"
"APOA2"	""	""	""	"APOA2,,,"
"APOBEC4"	"C1orf169"	"MGC26594, FLJ25691, RP1-127C7.4"	""	"APOBEC4,C1orf169,MGC26594, FLJ25691, RP1-127C7.4,"
"APOC1"	""	""	""	"APOC1,,,"
"APOC1P1"	""	"lincRNA-APOC1P1-3"	""	"APOC1P1,,lincRNA-APOC1P1-3,"
"APOC2"	""	""	""	"APOC2,,,"
"APOC4"	""	""	""	"APOC4,,,"
"APOC4-APOC2"	""	""	""	"APOC4-APOC2,,,"
"APOD"	""	"Apo-D"	""	"APOD,,Apo-D,"
"APOE"	"AD2"	""	""	"APOE,AD2,,"
"AQP10"	""	""	""	"AQP10,,,"
"ARAF"	"ARAF1"	""	""	"ARAF,ARAF1,,"
"ARC"	""	"KIAA0278, Arg3.1"	""	"ARC,,KIAA0278, Arg3.1,"
"ARF1"	""	""	""	"ARF1,,,"
"ARFGAP1"	"ARF1GAP"	"FLJ10767, bA261N11.3"	""	"ARFGAP1,ARF1GAP,FLJ10767, bA261N11.3,"
"ARFGAP3"	"ARFGAP1"	""	""	"ARFGAP3,ARFGAP1,,"
"ARFGEF1"	""	"DKFZP434L057, BIG1, ARFGEP1, p200"	""	"ARFGEF1,,DKFZP434L057, BIG1, ARFGEP1, p200,"
"ARFGEF2"	""	"BIG2"	""	"ARFGEF2,,BIG2,"
"ARFRP1"	""	"ARP, Arp1, ARL18"	""	"ARFRP1,,ARP, Arp1, ARL18,"
"ARHGAP30"	""	"FLJ00267"	""	"ARHGAP30,,FLJ00267,"
"ARHGAP33"	"SNX26"	"FLJ39019, TCGAP"	""	"ARHGAP33,SNX26,FLJ39019, TCGAP,"
"ARHGAP39"	""	"KIAA1688, Vilse, CrGAP"	""	"ARHGAP39,,KIAA1688, Vilse, CrGAP,"
"ARHGDIA"	"GDIA1"	"RHOGDI"	""	"ARHGDIA,GDIA1,RHOGDI,"
"ARHGEF2"	""	"LFP40, GEF-H1, KIAA0651, P40, Lfc, GEFH1"	""	"ARHGEF2,,LFP40, GEF-H1, KIAA0651, P40, Lfc, GEFH1,"
"ARHGEF10"	""	"KIAA0294, Gef10"	""	"ARHGEF10,,KIAA0294, Gef10,"
"ARHGEF11"	""	"KIAA0380, GTRAP48, PDZ-RHOGEF"	""	"ARHGEF11,,KIAA0380, GTRAP48, PDZ-RHOGEF,"
"ARHGEF26"	""	"DKFZP434D146, SGEF"	""	"ARHGEF26,,DKFZP434D146, SGEF,"
"ARID4A"	"RBBP1"	"RBP1, RBP-1"	""	"ARID4A,RBBP1,RBP1, RBP-1,"
"ARID4B"	"RBP1L1"	"BCAA, BRCAA1, SAP180"	""	"ARID4B,RBP1L1,BCAA, BRCAA1, SAP180,"
"ARL2"	""	"ARFL2"	""	"ARL2,,ARFL2,"
"ARL2-SNX15"	""	""	""	"ARL2-SNX15,,,"
"ARL8A"	"ARL10B"	"FLJ45195, Gie2"	""	"ARL8A,ARL10B,FLJ45195, Gie2,"
"ARL11"	""	"ARLTS1, FLJ33930"	""	"ARL11,,ARLTS1, FLJ33930,"
"ARL14"	"ARF7"	"FLJ22595"	""	"ARL14,ARF7,FLJ22595,"
"ARL16"	""	""	""	"ARL16,,,"
"ARMC1"	""	"FLJ10511, Arcp"	""	"ARMC1,,FLJ10511, Arcp,"
"ARMC6"	""	"MGC19595"	""	"ARMC6,,MGC19595,"
"ARMC7"	""	"FLJ22160"	""	"ARMC7,,FLJ22160,"
"ARMC8"	""	"HSPC056, DKFZP434A043, GID5, VID28"	""	"ARMC8,,HSPC056, DKFZP434A043, GID5, VID28,"
"ARNT"	""	"HIF-1beta, bHLHe2"	""	"ARNT,,HIF-1beta, bHLHe2,"
"ARPC5"	""	"p16-Arc, ARC16, dJ127C7.3"	""	"ARPC5,,p16-Arc, ARC16, dJ127C7.3,"
"ARRDC2"	""	"CLONE24945, PP2703"	""	"ARRDC2,,CLONE24945, PP2703,"
"ARSA"	""	""	""	"ARSA,,,"
"ARTN"	""	"NBN, EVN, ENOVIN"	""	"ARTN,,NBN, EVN, ENOVIN,"
"ARV1"	""	""	""	"ARV1,,,"
"ASAH1"	"ASAH"	"AC, PHP32, FLJ21558, ACDase"	""	"ASAH1,ASAH,AC, PHP32, FLJ21558, ACDase,"
"ASAP1"	"DDEF1"	"PAP, KIAA1249, ZG14P, CENTB4"	""	"ASAP1,DDEF1,PAP, KIAA1249, ZG14P, CENTB4,"
"ASAP1-IT1"	"DDEF1IT1"	"HSPC054, NCRNA00050, ASAP1IT, ASAP1-IT"	"ASAP1-IT1"	"ASAP1-IT1,DDEF1IT1,HSPC054, NCRNA00050, ASAP1IT, ASAP1-IT,ASAP1-IT1"
"ASAP1-IT2"	""	""	"ASAP1-IT2"	"ASAP1-IT2,,,ASAP1-IT2"
"ASAP2"	"DDEF2"	"KIAA0400, PAP, SHAG1, CENTB3"	""	"ASAP2,DDEF2,KIAA0400, PAP, SHAG1, CENTB3,"
"ASCL5"	""	"bHLHa47"	""	"ASCL5,,bHLHa47,"
"ASF1B"	""	"FLJ10604"	""	"ASF1B,,FLJ10604,"
"ASH1L"	""	"huASH1, ASH1, ASH1L1, KMT2H"	""	"ASH1L,,huASH1, ASH1, ASH1L1, KMT2H,"
"ASH1L-AS1"	""	"APPLE"	"ASH1L-AS1"	"ASH1L-AS1,,APPLE,ASH1L-AS1"
"ASH2L"	"ASH2L1"	"ASH2L2, ASH2, Bre2"	""	"ASH2L,ASH2L1,ASH2L2, ASH2, Bre2,"
"ASIP"	"AGTIL"	"ASP"	""	"ASIP,AGTIL,ASP,"
"ASPH"	""	"CASQ2BP1, BAH, JCTN, HAAH"	""	"ASPH,,CASQ2BP1, BAH, JCTN, HAAH,"
"ASPM"	"MCPH5"	"Calmbp1, ASP, FLJ10517, FLJ10549"	""	"ASPM,MCPH5,Calmbp1, ASP, FLJ10517, FLJ10549,"
"ASPSCR1"	""	"ASPS, ASPL, UBXD9, UBXN9, TUG"	""	"ASPSCR1,,ASPS, ASPL, UBXD9, UBXN9, TUG,"
"ASTN1"	"ASTN"	""	""	"ASTN1,ASTN,,"
"ASXL1"	""	"KIAA0978"	""	"ASXL1,,KIAA0978,"
"ATAD2"	""	"PRO2000, DKFZp667N1320, MGC5254, MGC29843, CT137, ANCCA"	""	"ATAD2,,PRO2000, DKFZp667N1320, MGC5254, MGC29843, CT137, ANCCA,"
"ATF3"	""	""	""	"ATF3,,,"
"ATF6"	""	"ATF6A"	""	"ATF6,,ATF6A,"
"ATG2A"	""	"KIAA0404"	""	"ATG2A,,KIAA0404,"
"ATG4D"	"AUTL4, APG4D"	"APG4-D"	""	"ATG4D,AUTL4, APG4D,APG4-D,"
"ATN1"	"D12S755E, DRPLA"	"B37"	""	"ATN1,D12S755E, DRPLA,B37,"
"ATP1A2"	"MHP2"	"FHM2"	""	"ATP1A2,MHP2,FHM2,"
"ATP1A4"	"ATP1AL2"	""	""	"ATP1A4,ATP1AL2,,"
"ATP1B1"	"ATP1B"	""	""	"ATP1B1,ATP1B,,"
"ATP1B3"	""	"FLJ29027, CD298"	""	"ATP1B3,,FLJ29027, CD298,"
"ATP2B4"	"ATP2B2, MXRA1"	"PMCA4"	""	"ATP2B4,ATP2B2, MXRA1,PMCA4,"
"ATP4A"	""	"ATP6A"	""	"ATP4A,,ATP6A,"
"ATP5F1E"	"ATP5E"	""	""	"ATP5F1E,ATP5E,,"
"ATP5PD"	"ATP5H"	"ATPQ, ATP5JD"	""	"ATP5PD,ATP5H,ATPQ, ATP5JD,"
"ATP6V1B2"	"VPP3, ATP6B2"	"VATB, Vma2, HO57"	""	"ATP6V1B2,VPP3, ATP6B2,VATB, Vma2, HO57,"
"ATP6V1C1"	"ATP6D, ATP6C"	"VATC, Vma5"	""	"ATP6V1C1,ATP6D, ATP6C,VATC, Vma5,"
"ATP6V1G3"	""	"ATP6G3, Vma10"	""	"ATP6V1G3,,ATP6G3, Vma10,"
"ATP6V1H"	""	"CGI-11, SFD, VMA13, SFDalpha, SFDbeta"	""	"ATP6V1H,,CGI-11, SFD, VMA13, SFDalpha, SFDbeta,"
"ATP6V0D2"	"ATP6D2"	"FLJ38708, VMA6"	""	"ATP6V0D2,ATP6D2,FLJ38708, VMA6,"
"ATP8B2"	""	"ATPID, KIAA1137"	""	"ATP8B2,,ATPID, KIAA1137,"
"ATP9A"	""	"KIAA0611, ATPIIA"	""	"ATP9A,,KIAA0611, ATPIIA,"
"ATP11B"	""	"ATPIF, ATPIR, KIAA0956"	""	"ATP11B,,ATPIF, ATPIR, KIAA0956,"
"ATP13A1"	"ATP13A"	"KIAA1825, FLJ31858, CGI-152"	""	"ATP13A1,ATP13A,KIAA1825, FLJ31858, CGI-152,"
"ATP13A3"	""	"AFURS1"	""	"ATP13A3,,AFURS1,"
"ATP13A3-DT"	"LINC00884"	""	"LINC00884"	"ATP13A3-DT,LINC00884,,LINC00884"
"ATP13A4"	""	"DKFZp761I1011, FLJ37958"	""	"ATP13A4,,DKFZp761I1011, FLJ37958,"
"ATP13A5"	""	"FLJ16025"	""	"ATP13A5,,FLJ16025,"
"ATPSCKMT"	"FAM173B"	"JS-2"	""	"ATPSCKMT,FAM173B,JS-2,"
"ATR"	""	"FRP1, SCKL, SCKL1, MEC1"	""	"ATR,,FRP1, SCKL, SCKL1, MEC1,"
"AURKA"	"STK15, STK6"	"BTAK, AurA, STK7, ARK1, PPP1R47, AIK"	""	"AURKA,STK15, STK6,BTAK, AurA, STK7, ARK1, PPP1R47, AIK,"
"AURKAP1"	"STK6P, AURKAPS1"	"AurAps1"	""	"AURKAP1,STK6P, AURKAPS1,AurAps1,"
"AVPR1B"	"AVPR3"	"V1bR, VPR3"	""	"AVPR1B,AVPR3,V1bR, VPR3,"
"AXDND1"	"C1orf125"	"FLJ32940"	""	"AXDND1,C1orf125,FLJ32940,"
"AZGP1"	""	"ZA2G, ZAG"	""	"AZGP1,,ZA2G, ZAG,"
"AZGP1P1"	""	""	""	"AZGP1P1,,,"
"AZIN1"	"OAZIN"	"OAZI, ODC1L"	""	"AZIN1,OAZIN,OAZI, ODC1L,"
"B3GALNT1"	"B3GALT3"	"beta3Gal-T3, galT3, GLOB, B3GALANT1"	""	"B3GALNT1,B3GALT3,beta3Gal-T3, galT3, GLOB, B3GALANT1,"
"B3GALNT2"	""	"MGC39558"	""	"B3GALNT2,,MGC39558,"
"B3GALT2"	""	"beta3Gal-T2"	""	"B3GALT2,,beta3Gal-T2,"
"B3GNT3"	"TMEM3"	"B3GN-T3, beta3Gn-T3, HP10328, B3GNT-3"	""	"B3GNT3,TMEM3,B3GN-T3, beta3Gn-T3, HP10328, B3GNT-3,"
"B3GNT5"	""	"B3GN-T5, beta3Gn-T5"	""	"B3GNT5,,B3GN-T5, beta3Gn-T5,"
"B4GALT3"	""	"beta4Gal-T3"	""	"B4GALT3,,beta4Gal-T3,"
