"approved_symbol"	"previous_symbols"	"alias_symbols"	"LNCipedia"	"all"
"EXTL3"	""	"botv, REGR"	""	"EXTL3,,botv, REGR,"
"EYA1"	"BOR"	""	""	"EYA1,BOR,,"
"EYA2"	""	"EAB1"	""	"EYA2,,EAB1,"
"F2RL3"	""	"PAR4"	""	"F2RL3,,PAR4,"
"F5"	""	""	""	"F5,,,"
"F11R"	"JAM1"	"PAM-1, JCAM, JAM-1, JAM-A, JAMA, CD321"	""	"F11R,JAM1,PAM-1, JCAM, JAM-1, JAM-A, JAMA, CD321,"
"F13B"	""	"FXIIIB"	""	"F13B,,FXIIIB,"
"FA2H"	"FAXDC1, SPG35"	"FAAH, FLJ25287"	""	"FA2H,FAXDC1, SPG35,FAAH, FLJ25287,"
"FAAH"	""	"FAAH-1"	""	"FAAH,,FAAH-1,"
"FAAHP1"	"LINC00505"	"FAAH-OUT"	""	"FAAHP1,LINC00505,FAAH-OUT,"
"FAAP24"	"C19orf40"	"FLJ46828, MGC32020"	""	"FAAP24,C19orf40,FLJ46828, MGC32020,"
"FAAP100"	"C17orf70"	"FLJ22175"	""	"FAAP100,C17orf70,FLJ22175,"
"FABP4"	""	"A-FABP, aP2"	""	"FABP4,,A-FABP, aP2,"
"FABP5"	""	"E-FABP, PA-FABP, KFABP"	""	"FABP5,,E-FABP, PA-FABP, KFABP,"
"FABP5P1"	"FABP5L1"	"FABP5"	""	"FABP5P1,FABP5L1,FABP5,"
"FABP9"	""	"PERF, T-FABP, PERF15"	""	"FABP9,,PERF, T-FABP, PERF15,"
"FABP12"	""	""	""	"FABP12,,,"
"FAIM"	""	"FLJ10582, FAIM1"	""	"FAIM,,FLJ10582, FAIM1,"
"FALEC"	"LINC00568"	"ncRNA-a1, FAL1"	"FALEC"	"FALEC,LINC00568,ncRNA-a1, FAL1,FALEC"
"FAM20B"	""	"KIAA0475, GXK1"	""	"FAM20B,,KIAA0475, GXK1,"
"FAM32A"	""	"DKFZP586O0120, OTAG-12"	""	"FAM32A,,DKFZP586O0120, OTAG-12,"
"FAM43A"	""	"FLJ90022"	""	"FAM43A,,FLJ90022,"
"FAM53A"	""	"DNTNP"	""	"FAM53A,,DNTNP,"
"FAM66A"	""	""	""	"FAM66A,,,"
"FAM66B"	""	""	"FAM66B"	"FAM66B,,,FAM66B"
"FAM66D"	""	""	""	"FAM66D,,,"
"FAM66E"	""	""	"FAM66E"	"FAM66E,,,FAM66E"
"FAM72A"	""	"MGC57827, RP11-312O7.1, UGENE, LMPIP, p17"	""	"FAM72A,,MGC57827, RP11-312O7.1, UGENE, LMPIP, p17,"
"FAM72B"	""	"RP11-439A17.6"	""	"FAM72B,,RP11-439A17.6,"
"FAM72C"	""	"RP5-998N21.9"	""	"FAM72C,,RP5-998N21.9,"
"FAM72D"	""	""	""	"FAM72D,,,"
"FAM78B"	""	""	""	"FAM78B,,,"
"FAM83A"	""	"MGC14128, BJ-TSA-9"	""	"FAM83A,,MGC14128, BJ-TSA-9,"
"FAM83A-AS1"	""	"HCCC11"	"FAM83A-AS1"	"FAM83A-AS1,,HCCC11,FAM83A-AS1"
"FAM83H"	""	"FLJ46072"	""	"FAM83H,,FLJ46072,"
"FAM85B"	""	"lncRNA-HEIM"	""	"FAM85B,,lncRNA-HEIM,"
"FAM86B1"	""	"MGC16279"	""	"FAM86B1,,MGC16279,"
"FAM86B2"	""	""	""	"FAM86B2,,,"
"FAM86B3P"	""	""	""	"FAM86B3P,,,"
"FAM86C2P"	""	""	""	"FAM86C2P,,,"
"FAM87A"	""	""	""	"FAM87A,,,"
"FAM89A"	"C1orf153"	"MGC15887"	""	"FAM89A,C1orf153,MGC15887,"
"FAM89B"	""	"MTVR1, LRAP25"	""	"FAM89B,,MTVR1, LRAP25,"
"FAM90A2P"	""	""	""	"FAM90A2P,,,"
"FAM90A7"	"FAM90A7P"	""	""	"FAM90A7,FAM90A7P,,"
"FAM90A10"	"FAM90A10P"	""	""	"FAM90A10,FAM90A10P,,"
"FAM90A24P"	"FAM90A24"	""	""	"FAM90A24P,FAM90A24,,"
"FAM90A25P"	""	""	""	"FAM90A25P,,,"
"FAM91A1"	""	"FLJ23790"	""	"FAM91A1,,FLJ23790,"
"FAM98C"	""	"FLJ44669"	""	"FAM98C,,FLJ44669,"
"FAM110B"	"C8orf72"	"MGC39325"	""	"FAM110B,C8orf72,MGC39325,"
"FAM131A"	"C3orf40"	"MGC21688"	""	"FAM131A,C3orf40,MGC21688,"
"FAM135B"	""	"C8ORFK32"	""	"FAM135B,,C8ORFK32,"
"FAM138B"	""	"F379"	"FAM138B"	"FAM138B,,F379,FAM138B"
"FAM157A"	"GTF2IP18"	""	""	"FAM157A,GTF2IP18,,"
"FAM163A"	"C1orf76"	"MGC16664, NDSP"	""	"FAM163A,C1orf76,MGC16664, NDSP,"
"FAM167A"	"C8orf13"	"DIORA-1"	""	"FAM167A,C8orf13,DIORA-1,"
"FAM167A-AS1"	"C8orf12"	""	"FAM167A-AS1"	"FAM167A-AS1,C8orf12,,FAM167A-AS1"
"FAM167B"	"C1orf90"	"MGC10820, DIORA-2"	""	"FAM167B,C1orf90,MGC10820, DIORA-2,"
"FAM168A"	"KIAA0280"	"TCRP1"	""	"FAM168A,KIAA0280,TCRP1,"
"FAM177B"	""	"RP11-452F19.2, FLJ43505"	""	"FAM177B,,RP11-452F19.2, FLJ43505,"
"FAM183A"	""	"LOC440585, hCG23177"	""	"FAM183A,,LOC440585, hCG23177,"
"FAM187B"	"TMEM162"	"FLJ25660"	""	"FAM187B,TMEM162,FLJ25660,"
"FAM189B"	"C1orf2"	"cote1"	""	"FAM189B,C1orf2,cote1,"
"FAM209A"	"C20orf106"	"dJ1153D9.3"	""	"FAM209A,C20orf106,dJ1153D9.3,"
"FAM209B"	"C20orf107"	"dJ1153D9.4"	""	"FAM209B,C20orf107,dJ1153D9.4,"
"FAM210B"	"C20orf108"	"dJ1167H4.1, DKFZP434A1114"	""	"FAM210B,C20orf108,dJ1167H4.1, DKFZP434A1114,"
